UF,al,fp_e100,fp_e27,ghg_fuel_e
AC,0.020,4.58777777777777,6.091,642.0962
AL,0.028,4.25111111111111,5.489,706.876694
AP,0.030,5.292222222,5.114,642.0962
AM,0.030,4.468888889,6.154,642.0962
BA,0.025,4.434444444,5.723,670.637539
CE,0.025,4.628888889,5.780,642.0962
DF,0.020,3.905555556,5.409,642.0962
ES,0.020,4.393333333,5.547,706.876694
GO,0.030,3.781111111,5.383,572.578649
MA,0.025,4.501111111,5.270,753.774424
MT,0.020,3.506666667,5.443,689.822974
MS,0.030,3.81,5.177,566.183504
MG,0.040,3.753333333,5.269,625.871524
PA,0.025,4.592222222,5.428,504.363769
PB,0.030,4.051111111,5.291,685.559544
PE,0.024,4.081111111,5.574,743.115849
PR,0.035,4.238888889,5.412,591.764084
PI,0.025,4.338888889,5.476,553.393214
RJ,0.040,4.316666667,5.446,572.578649
RN,0.030,4.593333333,5.750,726.062129
RS,0.030,4.77,5.383,642.0962
RO,0.030,4.831111111,5.909,642.0962
RR,0.030,4.971111111,5.857,642.0962
SC,0.020,4.587777778,5.556,642.0962
SP,0.040,3.688888889,5.297,604.554374
SE,0.025,4.387777778,5.524,770.828144
TO,0.020,4.507777778,5.719,512.890629
